Year,N,tmin,tmax,tavg,Date,decade
1949,365,37.9369863,62.31506849,NA,1/1/1949,4
1950,365,39.59178082,63.65479452,NA,1/1/1950,5
1951,365,38.63561644,62.07945205,NA,1/1/1951,5
1952,366,39.42622951,62.68306011,NA,1/1/1952,5
1953,365,41.30958904,65.18630137,NA,1/1/1953,5
1954,365,40.20273973,65.32054795,NA,1/1/1954,5
1955,365,37.14794521,62.00273973,NA,1/1/1955,5
1956,366,38.22677596,64.68579235,NA,1/1/1956,5
1957,365,39.65479452,63.80273973,NA,1/1/1957,5
1958,365,40.63835616,66.59726027,NA,1/1/1958,5
1959,365,38.90410959,64.56164384,NA,1/1/1959,5
1960,366,38.95081967,64.86612022,NA,1/1/1960,6
1961,365,39.37260274,65.17534247,NA,1/1/1961,6
1962,365,37.73972603,63.52054795,NA,1/1/1962,6
1963,365,38.32876712,63.52328767,NA,1/1/1963,6
1964,366,35.52185792,61.1420765,NA,1/1/1964,6
1965,365,38.09041096,62.98630137,NA,1/1/1965,6
1966,365,38.96438356,65.79452055,NA,1/1/1966,6
1967,365,38.99726027,64.8109589,NA,1/1/1967,6
1968,366,37.76229508,62.73770492,NA,1/1/1968,6
1969,365,39.90136986,64.01369863,NA,1/1/1969,6
1970,365,39.65479452,63.46849315,NA,1/1/1970,7
1971,365,38.47945205,62.50136986,NA,1/1/1971,7
1972,366,40.18579235,64.43989071,NA,1/1/1972,7
1973,365,39.93150685,62.89863014,NA,1/1/1973,7
1974,365,40.83013699,64.9260274,NA,1/1/1974,7
1975,365,39.6630137,61.92054795,NA,1/1/1975,7
1976,366,38.7704918,64.40710383,NA,1/1/1976,7
1977,365,41.24657534,65.13424658,NA,1/1/1977,7
1978,365,41.50684932,65.0739726,NA,1/1/1978,7
1979,365,40.29315068,65.08493151,NA,1/1/1979,7
1980,366,41.37704918,64.30327869,NA,1/1/1980,8
1981,365,43.4630137,65.13972603,NA,1/1/1981,8
1982,365,40.12054795,61.97260274,NA,1/1/1982,8
1983,365,43.43835616,63.64383562,NA,1/1/1983,8
1984,366,40.94262295,61.06284153,NA,1/1/1984,8
1985,365,41.31506849,62.40821918,NA,1/1/1985,8
1986,365,42.03287671,63.32328767,NA,1/1/1986,8
1987,365,41.63561644,65.15616438,NA,1/1/1987,8
1988,366,41.3852459,65.12021858,NA,1/1/1988,8
1989,365,40.23013699,64.23013699,NA,1/1/1989,8
1990,365,41.50410959,65.23013699,NA,1/1/1990,9
1991,365,40.83013699,62.79452055,NA,1/1/1991,9
1992,366,41.7568306,65.52459016,NA,1/1/1992,9
1993,365,39.36712329,61.24931507,NA,1/1/1993,9
1994,365,42.85753425,66.45205479,NA,1/1/1994,9
1995,365,42.14520548,65.61369863,NA,1/1/1995,9
1996,366,42.32513661,66.22131148,NA,1/1/1996,9
1997,365,41.90958904,64.88493151,NA,1/1/1997,9
1998,365,42.66575342,63.14794521,58.02189781,1/1/1998,9
1999,365,41.93424658,64.58082192,53.5,1/1/1999,9
2000,366,42.97814208,64.43169399,53.94535519,1/1/2000,0
2001,365,42.95068493,64.62465753,54.04931507,1/1/2001,0
2002,365,40.75890411,63.23561644,52.09315068,1/1/2002,0
2003,365,44.15890411,65.84931507,55,1/1/2003,0
2004,366,41.80601093,62.36065574,52.3852459,1/1/2004,0
2005,365,42.64931507,64.1260274,53.22641509,1/1/2005,0
2006,365,42.70958904,64.90410959,NA,1/1/2006,0
2007,365,42.21369863,65.44931507,NA,1/1/2007,0
2008,366,40.63114754,63.25956284,NA,1/1/2008,0
2009,365,41.25753425,62.98630137,NA,1/1/2009,0
2010,365,42.08219178,63.31506849,NA,1/1/2010,1
2011,365,41.43287671,62.15616438,NA,1/1/2011,1
2012,366,45.22131148,67.8852459,NA,1/1/2012,1
2013,365,42.76712329,63.90958904,60.65454545,1/1/2013,1
2014,365,44.59726027,66.56986301,55.64383562,1/1/2014,1
2015,365,45.76164384,66.86849315,56.12876712,1/1/2015,1
2016,366,45.66393443,66.79234973,56.00819672,1/1/2016,1
2017,365,45.71780822,66.56986301,56.03287671,1/1/2017,1
